country,year,sex,age,cases,total_annual_cases
AD,1996,f,0-14,0,8
AD,1996,f,15-24,1,8
AD,1996,f,25-34,1,8
AD,1996,f,35-44,0,8
AD,1996,f,45-54,0,8
AD,1996,f,55-64,1,8
AD,1996,f,65+,0,8
AD,1996,m,0-14,0,8
AD,1996,m,15-24,0,8
AD,1996,m,25-34,0,8
AD,1996,m,35-44,4,8
AD,1996,m,45-54,1,8
AD,1996,m,55-64,0,8
AD,1996,m,65+,0,8
AD,1997,f,0-14,0,17
AD,1997,f,15-24,1,17
AD,1997,f,25-34,2,17
AD,1997,f,35-44,3,17
AD,1997,f,45-54,0,17
AD,1997,f,55-64,0,17
AD,1997,f,65+,1,17
AD,1997,m,0-14,0,17
AD,1997,m,15-24,0,17
AD,1997,m,25-34,1,17
AD,1997,m,35-44,2,17
AD,1997,m,45-54,2,17
AD,1997,m,55-64,1,17
AD,1997,m,65+,6,17
AD,1998,m,0-14,0,1
AD,1998,m,15-24,0,1
AD,1998,m,25-34,0,1
AD,1998,m,35-44,1,1
AD,1998,m,45-54,0,1
AD,1998,m,55-64,0,1
AD,1998,m,65+,0,1
AD,1999,f,0-14,0,4
AD,1999,f,15-24,0,4
AD,1999,f,25-34,0,4
AD,1999,f,35-44,1,4
AD,1999,f,45-54,0,4
AD,1999,f,55-64,0,4
AD,1999,f,65+,0,4
AD,1999,m,0-14,0,4
AD,1999,m,15-24,0,4
AD,1999,m,25-34,0,4
AD,1999,m,35-44,1,4
AD,1999,m,45-54,1,4
AD,1999,m,55-64,0,4
AD,1999,m,65+,0,4
AD,2000,m,0-14,0,1
AD,2000,m,15-24,0,1
AD,2000,m,25-34,1,1
AD,2000,m,35-44,0,1
AD,2000,m,45-54,0,1
AD,2000,m,55-64,0,1
AD,2000,m,65+,0,1
AD,2001,m,0-14,0,3
AD,2001,m,35-44,2,3
AD,2001,m,45-54,1,3
AD,2002,f,0-14,0,2
AD,2002,f,15-24,1,2
AD,2002,f,25-34,0,2
AD,2002,f,35-44,0,2
AD,2002,f,45-54,0,2
AD,2002,f,55-64,0,2
AD,2002,f,65+,0,2
AD,2002,m,0-14,0,2
AD,2002,m,15-24,0,2
AD,2002,m,25-34,0,2
AD,2002,m,35-44,1,2
AD,2002,m,45-54,0,2
AD,2002,m,55-64,0,2
AD,2002,m,65+,0,2
AD,2003,f,0-14,0,7
AD,2003,f,15-24,1,7
AD,2003,f,25-34,1,7
AD,2003,f,35-44,1,7
AD,2003,f,45-54,0,7
AD,2003,f,55-64,0,7
AD,2003,f,65+,0,7
AD,2003,m,0-14,0,7
AD,2003,m,15-24,0,7
AD,2003,m,25-34,0,7
AD,2003,m,35-44,1,7
AD,2003,m,45-54,2,7
AD,2003,m,55-64,0,7
AD,2003,m,65+,0,7
AD,2004,f,0-14,0,3
AD,2004,f,15-24,0,3
AD,2004,f,25-34,1,3
AD,2004,f,35-44,0,3
AD,2004,f,45-54,0,3
AD,2004,f,55-64,0,3
